Year,Week,Date,Entity,M,F
2024,28,2024-07-14,Aguascalientes,0,0
2024,29,2024-07-21,Aguascalientes,0,0
2024,30,2024-07-28,Aguascalientes,0,4
2024,31,2024-08-04,Aguascalientes,0,0
2024,32,2024-08-11,Aguascalientes,1,0
2024,33,2024-08-18,Aguascalientes,0,1
2024,34,2024-08-25,Aguascalientes,0,1
2024,35,2024-09-01,Aguascalientes,0,1
2024,36,2024-09-08,Aguascalientes,0,0
2024,37,2024-09-15,Aguascalientes,0,0
2024,38,2024-09-22,Aguascalientes,0,1
2024,39,2024-09-29,Aguascalientes,0,0
2024,40,2024-10-06,Aguascalientes,0,1
2024,41,2024-10-13,Aguascalientes,0,0
2024,42,2024-10-20,Aguascalientes,0,1
2024,43,2024-10-27,Aguascalientes,2,0
2024,44,2024-11-03,Aguascalientes,0,0
2024,45,2024-11-10,Aguascalientes,0,0
2024,46,2024-11-17,Aguascalientes,1,0
2024,47,2024-11-24,Aguascalientes,0,0
2024,48,2024-12-01,Aguascalientes,0,0
2024,49,2024-12-08,Aguascalientes,0,0
2024,50,2024-12-15,Aguascalientes,0,1
2024,51,2024-12-22,Aguascalientes,0,0
2024,52,2024-12-29,Aguascalientes,0,0
2014,2,2014-01-12,Baja California,0,0
2014,3,2014-01-19,Baja California,1,5
2014,4,2014-01-26,Baja California,0,1
2014,5,2014-02-02,Baja California,0,3
2014,6,2014-02-09,Baja California,1,3
2014,7,2014-02-16,Baja California,1,0
2014,8,2014-02-23,Baja California,1,3
2014,9,2014-03-02,Baja California,0,0
2014,10,2014-03-09,Baja California,1,1
